Well,Top,Bottom,Label
F-9,150.0,177.0,Moderate to Poor
F-9,178.0,187.0,Good to Moderate
F-9,188.0,194.0,Moderate
F-9,195.0,200.0,Good to Moderate
F-9,201.0,220.0,Poor
F-9,221.0,331.0,Poor
F-9,332.0,340.0,Moderate to Poor
F-9,341.0,439.0,Moderate to Poor
F-9,440.0,453.0,Moderate
F-9,454.0,467.0,Moderate to Poor
F-9,468.0,479.0,Moderate to Poor
F-9,480.0,549.0,Good to Moderate
F-9,550.0,674.0,Moderate
F-9,675.0,704.0,Moderate to Poor
F-9,705.0,736.0,Moderate to Poor
F-9,737.0,750.0,Moderate to Poor
F-9,751.0,756.0,Good to Moderate
F-9,757.0,838.0,Moderate
F-9,839.0,845.0,Moderate
F-11,2492.0,2568.0,Free Pipe
F-11,2587.0,2636.0,Free Pipe
F-11,2637.0,2678.0,Poor
F-11,2679.0,2735.0,Good to Moderate
F-11,2736.0,2754.0,Poor
F-11,2755.0,2783.0,Moderate
F-11,2784.0,2835.0,Moderate
F-11,2836.0,2844.0,Moderate
F-11,2845.0,2847.0,Good
F-11,2848.0,2850.0,Moderate
F-11,2851.0,2854.0,Good
F-11,2855.0,2909.0,Moderate
F-11,2910.0,2936.0,Good
F-11,2937.0,2943.0,Poor
F-11,2944.0,2949.0,Good
F-11,2950.0,2955.0,Moderate
F-11,2956.0,3002.0,Good
F-11,3003.0,3006.0,Moderate
F-11,3007.0,3008.0,Good
F-11,3009.0,3012.0,Moderate
F-11,3013.0,3015.0,Good
F-11,3016.0,3019.0,Moderate
F-11,3020.0,3039.0,Good
F-11,3040.0,3044.0,Moderate
F-11,3045.0,3126.0,Good
F-11,3127.0,3130.0,Moderate
F-11,3131.0,3137.0,Good
F-11,3138.0,3142.0,Moderate
F-11,3143.0,3144.0,Good
F-11,3145.0,3147.0,Moderate
F-11,3148.0,3150.0,Good
F-11,3151.0,3160.0,Moderate
F-11,3161.0,3180,Good
