Well,Top,Bottom,Label
F-9,150.0,177.0,Low
F-9,178.0,187.0,Medium
F-9,188.0,194.0,Medium
F-9,195.0,200.0,Medium
F-9,201.0,220.0,Low
F-9,221.0,331.0,Low
F-9,332.0,340.0,Low
F-9,341.0,439.0,Low
F-9,440.0,453.0,Medium
F-9,454.0,467.0,Low
F-9,468.0,479.0,Low
F-9,480.0,484.0,Medium
F-9,485.0,512.0,Medium
F-9,513.0,549.0,Medium
F-9,550.0,674.0,Low
F-9,675.0,704.0,Low
F-9,705.0,736.0,Low
F-9,737.0,750.0,Low
F-9,751.0,756.0,Medium
F-9,757.0,838.0,Low
F-9,839.0,845.0,Low
F-12,2500.0,2504.0,Low
F-12,2505.0,2551.0,Medium
F-12,2551.0,2575.0,Low
F-12,2576.0,2587.0,High
F-12,2588.0,2591.0,Medium
F-12,2592.0,2601.0,High
F-12,2602.0,2606.0,Medium
F-12,2607.0,2624.0,Low
F-12,2625.0,2634.0,High
F-12,2635.0,2659.0,High
F-12,2660.0,2670.0,High
F-12,2671.0,2683.0,Low
F-12,2684.0,2760.0,Low
F-12,2761.0,2776.0,Medium
F-12,2777.0,2801.0,Low
F-12,2802.0,2806.0,Medium
F-12,2807.0,2847.0,Low
F-12,2848.0,2884.0,Medium
F-12,2885.0,2894.0,High
F-12,2895.9,2960.0,High
